# FROZEN weights — exam v2 STEP 1A. The exam uses these tables VERBATIM; no re-tuning.
# raw_strength = Sum_bins (n_bin/n_total)*|TP%_bin - baseline|; bins n<100 -> 0; sz on sz-present rows; duplicate-value columns deduped (11 aliases folded). Discovery slice; HOLDOUT SEALED.
variant,direction,rank,feature_code,plain_name,flag,weight,cumulative_weight,effect_pp,n,deduped_aliases
W-ALL,short,121,E05.07,Expanding/contracting range STREAK,,0.0030,0.7675,-2.1,6855,
W-ALL,short,122,G03.1,delta and delta fraction (the canonical pair),,0.0029,0.7705,-4.3,6869,
W-ALL,short,123,C.12,Sweep-event count in the 15,,0.0029,0.7734,-5.7,6869,
W-ALL,short,124,E14.04,Same-sign delta streak (pressure persistence),,0.0029,0.7763,-4.6,6855,
W-ALL,short,125,E37.05,Absorption streak per side,,0.0029,0.7792,1.9,6855,
W-ALL,short,126,E38.02,Percentile / z,,0.0029,0.7821,-1.2,6855,
W-ALL,short,127,B-P3.04,Dominant side label,,0.0029,0.7850,2.8,6869,
W-ALL,short,128,E24.06,Hot streak,,0.0029,0.7879,4.9,6855,
W-ALL,short,129,E16.04,opL streak (persistent long initiative),,0.0029,0.7908,-0.5,6855,
W-ALL,short,130,E21.10,Day-rank of |dOI|,,0.0029,0.7937,-3.1,6866,
W-ALL,short,131,E38.01,Absolute eff-agg + side,,0.0029,0.7965,-1.8,6869,
W-ALL,short,132,E54.04,Slope over last N buckets,,0.0028,0.7994,3.1,6869,
W-ALL,short,133,E28.09,Day-rank of speed,,0.0028,0.8022,1.6,6866,
W-ALL,short,134,E24.04,Percentile,,0.0028,0.8050,1.0,6645,
W-ALL,short,135,E43.05,Dominant-POC streak,,0.0028,0.8078,3.8,6855,
W-ALL,short,136,E37.06,Absorption acceleration,,0.0028,0.8106,1.5,6869,
W-ALL,short,137,E17.04,opS streak,,0.0028,0.8134,0.8,6855,
W-ALL,short,138,C.02,Net % change over the 15,,0.0028,0.8161,-2.7,6869,
W-ALL,short,139,E54.02,Tier: calm / warn / toxic (adaptive percentiles),,0.0027,0.8188,-1.6,6645,E55.01
W-ALL,short,140,E24.09,Day-rank,,0.0027,0.8215,1.2,6866,
W-ALL,short,141,C.11,Compression share (buckets under 0.6 ATR),,0.0027,0.8242,-2.3,6869,
W-ALL,short,142,E37.03,Day-rank of absorbed volume,,0.0026,0.8269,1.9,6866,
W-ALL,short,143,E25.02,Percentile / z vs window,,0.0026,0.8295,-3.2,6855,
W-ALL,short,144,E05.03,Range z-score,,0.0026,0.8321,-3.2,6855,
W-ALL,short,145,B-S.14,Selection range + net price change %,,0.0026,0.8347,-3.4,6869,
W-ALL,short,146,E03.02,Duration percentile vs trailing 30 and 240 buckets,,0.0026,0.8372,-2.1,6645,
W-ALL,short,147,E13.03,Sell-dominance streak,,0.0026,0.8398,3.2,6855,
W-ALL,short,148,E22.01,OPEN_OI ramp value (0.10-0.50),,0.0025,0.8423,1.8,6869,
W-ALL,short,149,E57.05,Sweep magnitude z,,0.0025,0.8448,3.1,6094,
W-ALL,short,150,E21.01,Sign: BUILD vs DRAIN,,0.0025,0.8474,6.5,6869,
W-ALL,short,151,E16.01,opL / vol fraction,,0.0025,0.8499,-1.0,6869,
W-ALL,short,152,B-P3.05,Aggregate buyer multiple vs trailing baseline,,0.0025,0.8523,0.6,6869,B-S.11
W-ALL,short,153,B-P2.04,Dominant side label,,0.0025,0.8548,2.4,6869,
W-ALL,short,154,E12.02,Buy z-score / percentile vs trailing window,,0.0025,0.8573,-2.2,6855,
W-ALL,short,155,E06.04,Same-direction streak length,,0.0024,0.8597,-2.3,6855,
W-ALL,short,156,G06.1,Net OI change + open:close ratio,,0.0024,0.8621,-2.0,6869,
W-ALL,short,157,E14.03,Delta z-score / percentile,,0.0024,0.8645,-2.2,6855,
W-ALL,short,158,E36.04,High-s streak,,0.0024,0.8669,2.9,6855,
W-ALL,short,159,E45.05,z-score of dispersion,,0.0024,0.8693,-3.2,6855,
W-ALL,short,160,E16.06,Day-rank of opL,,0.0024,0.8717,-2.5,6866,
W-ALL,short,161,E60.01,State label (categorical) + one-hot vector,,0.0024,0.8740,7.4,6869,E62.01
W-ALL,short,162,E56.06,ATR percentile vs day,,0.0024,0.8764,-2.3,6645,
W-ALL,short,163,B-S.05,Net delta + delta percentage,,0.0024,0.8787,-2.1,6869,
W-ALL,short,164,E23.04,Percentile vs window,,0.0023,0.8811,-2.6,6645,
W-ALL,short,165,K.07,Distance to nearest band (ticks and ATRs),,0.0023,0.8834,-4.2,6865,
W-ALL,short,166,E28.06,Speed streak (consecutive > 1x),,0.0023,0.8858,1.9,6855,
W-ALL,short,167,E13.02,Sell z-score / percentile,,0.0023,0.8881,2.6,6855,
W-ALL,short,168,E17.02,z-score / percentile,,0.0023,0.8903,-0.5,6855,
W-ALL,short,169,E13.06,Day-rank of sell volume,,0.0023,0.8926,-0.5,6866,
W-ALL,short,170,E19.08,Day-rank of clS,,0.0022,0.8948,3.2,6866,
W-ALL,short,171,B-P1.05,Absolute bull V*s over the selection,,0.0022,0.8970,-0.4,6869,
W-ALL,short,172,E23.09,Day-rank of buyer effort,,0.0022,0.8992,-2.2,6866,
W-ALL,short,173,E13.10,Sell-share slope over trailing 5 buckets,,0.0022,0.9014,3.2,6869,
W-ALL,short,174,E39.04,Consecutive-dot streak,,0.0021,0.9035,4.6,6855,
W-ALL,short,175,E29.04,Pace streak,tempo,0.0021,0.9056,0.5,5454,
W-ALL,short,176,E23.02,z vs trailing-30 (the baseline convention),,0.0021,0.9077,-1.3,6855,
W-ALL,short,177,E10.07,Persistently-high/low POC streak,,0.0020,0.9097,0.7,6104,
W-ALL,short,178,E21.03,z / percentile,,0.0020,0.9117,-0.5,6855,
W-ALL,short,179,C.01,Direction over the 15: net UP or DOWN,,0.0020,0.9138,7.8,6869,
W-ALL,short,180,E24.01,Raw value / log value,,0.0020,0.9158,1.1,6869,
W-ALL,short,181,E16.02,z-score / percentile vs window,,0.0020,0.9177,-0.1,6855,
W-ALL,short,182,B-P2.11,Entry-bucket raw value,,0.0020,0.9197,-2.1,6869,
W-ALL,short,183,C.09,Cumulative delta over the 15,,0.0020,0.9217,-1.9,6869,
W-ALL,short,184,E17.01,opS / vol fraction,,0.0019,0.9236,0.7,6869,
W-ALL,short,185,E33.01,Buyer multiplier / seller multiplier values,,0.0019,0.9255,2.9,6869,
W-ALL,short,186,E06.03,Body percentile / z-score vs window,,0.0019,0.9274,-2.9,6855,
W-ALL,short,187,E21.08,dOI acceleration,,0.0019,0.9293,-0.5,6869,
W-ALL,short,188,E56.05,ATR slope (vol regime drift),,0.0019,0.9312,-0.2,6851,
W-ALL,short,189,B-P2.06,Absolute bear V*(1-s) over the selection,,0.0019,0.9331,0.8,6869,
W-ALL,short,190,E37.02,Percentile / z vs window,,0.0018,0.9349,2.4,6855,
W-ALL,short,191,B-P2.10,Dominance-flip count across the selection,,0.0018,0.9367,2.9,6869,
W-ALL,short,192,E07.05,Trend-bar streak length,,0.0018,0.9385,1.6,6104,
W-ALL,short,193,C.07,Higher-highs / lower-lows counts,,0.0018,0.9403,0.4,6869,
W-ALL,short,194,E56.01,ATR value,,0.0018,0.9421,-2.7,6855,
W-ALL,short,195,E18.08,Day-rank of clL,,0.0018,0.9439,2.0,6866,
W-ALL,short,196,E13.01,Sell share: sell_vol / curr_vol,,0.0018,0.9457,-0.9,6869,
W-ALL,short,197,E13.08,Log sell volume,,0.0018,0.9474,-0.9,6869,
W-ALL,short,198,E36.03,Percentile / z vs window,,0.0018,0.9492,1.5,6855,
W-ALL,short,199,E38.07,Acceleration,,0.0018,0.9509,0.5,6869,
W-ALL,short,200,B-P1.07,Sum: absorbed share of selection volume,,0.0017,0.9526,0.8,6869,
W-ALL,short,201,E19.04,clS streak,,0.0017,0.9543,2.0,6855,
W-ALL,short,202,E10.04,Percentile vs trailing window,,0.0017,0.9560,2.5,6610,
W-ALL,short,203,E28.07,Speed acceleration vs prior,,0.0017,0.9576,-0.3,6869,
W-ALL,short,204,B-P3.10,Entry-bucket raw value,,0.0017,0.9593,-2.7,6869,
W-ALL,short,205,B-P3.03,Spread: buyer% - seller%,,0.0016,0.9609,0.6,6869,
W-ALL,short,206,E12.10,Buy-share slope over trailing 5 buckets,,0.0016,0.9625,-2.2,6869,
W-ALL,short,207,B-P1.09,Peak-absorption bucket position (0..15),,0.0016,0.9641,2.0,6869,
W-ALL,short,208,E15.01,Raw fraction,,0.0015,0.9656,-1.6,6869,
W-ALL,short,209,E33.05,Percentile of each vs day,,0.0015,0.9672,2.1,6645,
W-ALL,short,210,E14.01,Sign and magnitude,,0.0015,0.9687,1.4,6869,
W-ALL,short,211,K.06,Zone tag: above / upper-half / lower-half / below,,0.0015,0.9701,2.1,6865,
W-ALL,short,212,E28.05,Percentile / z vs window,,0.0015,0.9716,-1.2,6855,
W-ALL,short,213,E14.06,Delta acceleration (this vs prior magnitude),,0.0014,0.9730,0.1,6869,
W-ALL,short,214,E23.08,Effort acceleration vs prior,,0.0014,0.9744,0.6,6869,
W-ALL,short,215,E21.04,BUILD streak / DRAIN streak lengths,,0.0013,0.9757,-2.2,6855,
W-ALL,short,216,B-P3.08,Both-hot bucket count,,0.0013,0.9771,31.7,6869,
W-ALL,short,217,B-P3.09,Peak-E/R bucket position,,0.0013,0.9784,2.0,6869,
W-ALL,short,218,E07.04,Percentile / z vs trailing window,,0.0013,0.9797,1.8,6104,
W-ALL,short,219,E23.06,Hot streak length,,0.0013,0.9810,1.6,6855,
W-ALL,short,220,E37.01,Absolute absorbed volume + side,,0.0013,0.9822,-0.4,6869,
W-ALL,short,221,E07.01,Raw fraction 0..1,,0.0012,0.9834,1.6,6834,G02.1
W-ALL,short,222,B-P2.03,Spread: bull% - bear%,,0.0012,0.9846,0.2,6869,
W-ALL,short,223,E20.08,Churn acceleration,,0.0012,0.9858,0.5,6869,
W-ALL,short,224,E43.02,Percentile / z of the share,,0.0011,0.9870,1.1,6855,
W-ALL,short,225,E36.05,s slope over last 5 buckets,,0.0011,0.9881,0.8,6869,
W-ALL,short,226,K.12,POC-baseline slope + consecutive-side streak,,0.0011,0.9892,4.7,6645,
W-ALL,short,227,E15.04,Percentile / z vs window,,0.0011,0.9903,1.6,6855,
W-ALL,short,228,E17.06,Day-rank of opS,,0.0010,0.9913,0.2,6866,
W-ALL,short,229,E18.07,clL acceleration,,0.0010,0.9922,1.4,6869,
W-ALL,short,230,E10.01,Raw 0..1 position,,0.0009,0.9932,1.5,6834,G10.1
W-ALL,short,231,E36.01,Raw s,,0.0008,0.9940,0.2,6869,
W-ALL,short,232,E24.08,Effort acceleration,,0.0008,0.9948,0.4,6869,
W-ALL,short,233,E23.01,Raw value / log value,,0.0007,0.9956,-0.4,6869,
W-ALL,short,234,E15.05,One-sidedness streak,,0.0007,0.9963,0.4,6855,
W-ALL,short,235,B-P2.09,Peak eff-agg bucket position,,0.0007,0.9970,0.6,6869,
W-ALL,short,236,G04.1,Price moved per net contract (efficiency of aggression),,0.0007,0.9976,0.4,6869,
W-ALL,short,237,E38.06,Eff-agg streak per side,,0.0005,0.9981,-0.1,6855,
W-ALL,short,238,B-P1.08,Trajectory slope across the selection,,0.0005,0.9987,0.5,6869,
W-ALL,short,239,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,0.0004,0.9991,-0.6,6834,
W-ALL,short,240,E47.10,Acceleration vs prior bucket,,0.0003,0.9994,-0.7,6869,
W-ALL,short,241,E48.10,Acceleration,,0.0003,0.9996,0.5,6869,
W-ALL,short,242,C.04,Path class: trend / range / V-shape,,0.0002,0.9998,0.2,6869,
W-ALL,short,243,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,0.0002,1.0000,0.2,6869,
W-ALL,short,244,B-P1.04,Dominant side label,,0.0000,1.0000,0.0,6869,
W-STAT,short,1,E48.06,Day-rank,,0.0184,0.0184,17.7,6866,
W-STAT,short,2,E51.01,Volume per bin (vector feature),,0.0168,0.0353,7.3,2300,
W-STAT,short,3,E32.07,Percentile vs history,,0.0162,0.0514,-11.2,6645,
W-STAT,short,4,B-S.10,Sum ClS,,0.0144,0.0658,1.4,6869,
W-STAT,short,5,E49.05,Percentile of total fraction,,0.0143,0.0801,11.9,6645,
W-STAT,short,6,E51.07,z / percentile of large share,,0.0123,0.0924,-1.8,2270,
W-STAT,short,7,E51.08,Large-share streak,,0.0117,0.1041,-7.4,2270,
W-STAT,short,8,E01.01,UTC hour-of-day (0-23),,0.0116,0.1157,-5.2,6869,
W-STAT,short,9,E02.01,UTC hour-of-day at close,,0.0116,0.1272,-5.2,6869,
W-STAT,short,10,K.11,Close vs POC baseline: side + distance,,0.0115,0.1388,-2.4,6646,
W-STAT,short,11,E47.06,Day-rank,,0.0115,0.1503,4.3,6866,
W-STAT,short,12,E55.09,Percentile-window fill health,,0.0114,0.1617,4.0,6644,
W-STAT,short,13,K.09,Squeeze flag: bandwidth in bottom percentile,,0.0112,0.1729,-10.2,6645,
W-STAT,short,14,E03.08,Duration acceleration: ratio vs prior bucket,,0.0111,0.1840,0.5,6869,
W-STAT,short,15,B-S.07,Sum OpL,,0.0111,0.1951,0.9,6869,
W-STAT,short,16,K.04,Bandwidth: (upper - lower) / mid,,0.0110,0.2061,-11.7,6865,
W-STAT,short,17,E57.03,Depth percentile vs window,,0.0103,0.2164,7.9,6610,
W-STAT,short,18,C.05,Max drawup and drawdown within the 15,,0.0102,0.2266,-7.9,6869,
W-STAT,short,19,E54.05,Tier-dwell streak,,0.0099,0.2365,-2.9,6855,
W-STAT,short,20,E32.01,Current size,,0.0096,0.2461,-2.2,6869,
W-STAT,short,21,B-S.03,Total volume,,0.0094,0.2555,-3.5,6869,
W-STAT,short,22,E03.01,Raw seconds / log-duration,,0.0094,0.2649,11.9,6869,G01.1
W-STAT,short,23,E50.09,Large-count streak,,0.0093,0.2742,-5.2,2270,
W-STAT,short,24,E20.01,churn / vol fraction,,0.0093,0.2835,-4.4,6869,
W-STAT,short,25,E03.07,Fast/slow STREAK length (consecutive buckets same class),,0.0092,0.2927,-2.8,6855,
W-STAT,short,26,E47.02,z / percentile vs window,,0.0092,0.3019,-0.5,6855,
W-STAT,short,27,C.08,Dominant 12-state verdict over the 15,,0.0091,0.3110,18.1,6869,
W-STAT,short,28,B-P1.06,Absolute bear V*s over the selection,,0.0090,0.3200,-9.0,6869,
W-STAT,short,29,E48.02,z / percentile,,0.0089,0.3290,9.2,6855,
W-STAT,short,30,E48.05,Liq-long streak,,0.0088,0.3378,8.5,6855,
W-STAT,short,31,E50.01,Counts per bin (vector feature),,0.0086,0.3464,2.3,2300,
W-STAT,short,32,B-S.09,Sum ClL,,0.0076,0.3540,4.7,6869,
W-STAT,short,33,B-P4.09,Peak gated score + its bucket position,,0.0075,0.3615,3.8,6869,
W-STAT,short,34,E52.01,large-order net side (APPROX fixed-273c),,0.0073,0.3688,5.5,2300,
W-STAT,short,35,E50.08,Large-count percentile vs window,,0.0072,0.3759,-5.1,2299,
W-STAT,short,36,E19.02,z / percentile,,0.0070,0.3830,-1.9,6855,
W-STAT,short,37,C.06,Realized volatility of the 15,,0.0070,0.3899,-10.0,6869,
W-STAT,short,38,B-S.08,Sum OpS,,0.0068,0.3968,-2.8,6869,
W-STAT,short,39,E12.06,Day-rank of buy volume,,0.0068,0.4036,-6.5,6866,
W-STAT,short,40,B-P4.04,Opposite side's percentage,,0.0068,0.4104,6.8,6869,
W-STAT,short,41,B-P3.06,Aggregate seller multiple vs baseline,,0.0067,0.4171,3.5,6869,B-S.12
W-STAT,short,42,E20.07,Day-rank of churn,,0.0064,0.4235,-9.4,6866,
W-STAT,short,43,E12.01,Buy share: buy_vol / curr_vol,,0.0064,0.4299,-5.2,6869,
W-STAT,short,44,E12.08,Log buy volume,,0.0064,0.4363,-5.2,6869,
W-STAT,short,45,E47.05,Liq-short streak,,0.0064,0.4427,-7.9,6855,
W-STAT,short,46,B-P3.07,Hot-bucket count (>=1.5x) in selection,,0.0064,0.4491,0.0,6869,
W-STAT,short,47,E38.03,Day-rank,,0.0064,0.4554,-2.3,6866,
W-STAT,short,48,E54.03,z / percentile vs trailing 240,,0.0063,0.4618,3.8,6855,
W-STAT,short,49,E05.01,Absolute range / range in ticks,,0.0063,0.4681,-6.9,6869,
W-STAT,short,50,E42.01,Traded-level count,,0.0062,0.4743,-6.6,6869,E45.01
W-STAT,short,51,E45.02,Dispersion percentile vs window,,0.0062,0.4805,-4.2,6645,
W-STAT,short,52,E54.01,Current value,,0.0061,0.4866,-7.4,6869,
W-STAT,short,53,B-P4.01,Current exhaustion value (badge),,0.0059,0.4925,7.4,6869,B-P4.03
W-STAT,short,54,E05.02,Range percentile vs trailing 30/240,,0.0059,0.4984,-5.4,6645,
W-STAT,short,55,B-P2.08,Trajectory slope across the selection,,0.0058,0.5042,-1.6,6869,
W-STAT,short,56,E25.01,Raw dispersion (ticks),,0.0057,0.5100,-6.9,6869,
W-STAT,short,57,B-P2.07,Sum: eff-agg share of selection volume,,0.0057,0.5156,-2.0,6869,
W-STAT,short,58,E17.08,opS acceleration,,0.0056,0.5213,-0.9,6869,
W-STAT,short,59,B-P2.02,Bear eff-agg percentage (badge),,0.0055,0.5268,6.7,6869,
W-STAT,short,60,B-P1.03,Spread: bull% - bear%,,0.0055,0.5323,-1.8,6869,
W-STAT,short,61,B-P2.01,Bull eff-agg percentage (badge),,0.0055,0.5378,-6.6,6869,
W-STAT,short,62,B-P4.02,LAST EXHAUSTED SIDE (bull / bear),,0.0055,0.5433,4.2,6869,
W-STAT,short,63,B-P4.05,Spread between the two sides,,0.0055,0.5488,7.2,6869,
W-STAT,short,64,K.08,Channel slope (mid-line drift over N buckets),,0.0054,0.5542,-5.0,6865,
W-STAT,short,65,C.03,Linear-fit slope + R-squared (trendiness),,0.0054,0.5596,-2.0,6869,
W-STAT,short,66,E08.01,Upper wick size / lower wick size (ticks),,0.0052,0.5648,-6.8,6834,
W-STAT,short,67,E20.04,High-churn streak,,0.0051,0.5700,-5.1,6855,
W-STAT,short,68,B-S.06,Net dOI,,0.0050,0.5750,-4.2,6869,
W-STAT,short,69,E08.08,Wick percentile vs trailing window,,0.0049,0.5799,-2.5,6610,
W-STAT,short,70,E19.07,clS acceleration,,0.0049,0.5848,-1.4,6869,
W-STAT,short,71,E18.04,clL streak (sustained unwind),,0.0047,0.5895,4.3,6855,
W-STAT,short,72,E18.02,z / percentile,,0.0047,0.5942,-0.5,6855,
W-STAT,short,73,B-P1.10,Validated-dot (s>=0.60) count in selection,,0.0047,0.5988,3.7,6869,
W-STAT,short,74,E24.02,z vs trailing-30,,0.0046,0.6035,2.2,6855,
W-STAT,short,75,E19.01,clS / vol fraction,,0.0046,0.6081,2.1,6869,
W-STAT,short,76,E16.08,opL acceleration vs prior bucket,,0.0046,0.6126,-0.8,6869,
W-STAT,short,77,B-P2.05,Absolute bull V*(1-s) over the selection,,0.0046,0.6172,-5.0,6869,
W-STAT,short,78,E45.06,Fat/thin streak,,0.0045,0.6218,-3.0,6855,
W-STAT,short,79,E28.01,Raw multiple,,0.0045,0.6263,3.2,6869,
W-STAT,short,80,E43.01,POC share of curr_vol,,0.0045,0.6308,4.0,6869,
W-STAT,short,81,E06.01,Sign (direction) and magnitude,,0.0044,0.6353,6.2,6869,E06.10
W-STAT,short,82,E06.02,Log return of the body,,0.0044,0.6397,-4.0,6869,
W-STAT,short,83,E32.03,Slope of target over the day,,0.0044,0.6441,-0.8,6869,
W-STAT,short,84,C.10,Cumulative dOI over the 15,,0.0043,0.6485,-3.7,6869,
W-STAT,short,85,E12.03,Buy-dominance streak (share > 0.5),,0.0043,0.6527,-5.3,6855,
W-STAT,short,86,K.05,"Entry close position inside the channel, 0..1",,0.0043,0.6570,-4.6,6865,
W-STAT,short,87,E14.09,Day-rank of abs(delta),,0.0042,0.6612,-4.8,6866,
W-STAT,short,88,B-P4.10,Crossover-diamond count in the selection,,0.0042,0.6653,11.1,6869,
W-STAT,short,89,E33.06,Slope over the selection window,,0.0040,0.6694,1.4,6869,
W-STAT,short,90,E03.03,Duration z-score vs trailing window,,0.0040,0.6734,-3.9,6855,
W-STAT,short,91,E18.01,clL / vol fraction,,0.0040,0.6774,3.0,6869,
W-STAT,short,92,B-P1.02,Bear absorption percentage (badge),,0.0040,0.6814,-3.8,6869,
W-STAT,short,93,E25.06,Narrow/wide streak,,0.0039,0.6853,-0.6,6855,
W-STAT,short,94,E20.03,z / percentile,,0.0039,0.6892,-0.6,6855,
W-STAT,short,95,B-P1.01,Bull absorption percentage (badge),,0.0039,0.6930,3.7,6869,
W-STAT,short,96,B-P3.02,Seller-side percentage (badge),,0.0038,0.6969,2.4,6869,
W-STAT,short,97,E43.10,Day-rank of POC share,,0.0038,0.7007,5.5,6866,
W-STAT,short,98,B-P3.01,Buyer-side percentage (badge),,0.0038,0.7045,-2.4,6869,
W-STAT,short,99,E05.07,Expanding/contracting range STREAK,,0.0038,0.7083,-2.1,6855,
W-STAT,short,100,G03.1,delta and delta fraction (the canonical pair),,0.0037,0.7120,-4.3,6869,
W-STAT,short,101,C.12,Sweep-event count in the 15,,0.0037,0.7157,-5.7,6869,
W-STAT,short,102,E14.04,Same-sign delta streak (pressure persistence),,0.0037,0.7194,-4.6,6855,
W-STAT,short,103,E37.05,Absorption streak per side,,0.0037,0.7231,1.9,6855,
W-STAT,short,104,E38.02,Percentile / z,,0.0037,0.7268,-1.2,6855,
W-STAT,short,105,B-P3.04,Dominant side label,,0.0037,0.7305,2.8,6869,
W-STAT,short,106,E24.06,Hot streak,,0.0037,0.7341,4.9,6855,
W-STAT,short,107,E16.04,opL streak (persistent long initiative),,0.0036,0.7378,-0.5,6855,
W-STAT,short,108,E21.10,Day-rank of |dOI|,,0.0036,0.7414,-3.1,6866,
W-STAT,short,109,E38.01,Absolute eff-agg + side,,0.0036,0.7450,-1.8,6869,
W-STAT,short,110,E54.04,Slope over last N buckets,,0.0036,0.7486,3.1,6869,
W-STAT,short,111,E28.09,Day-rank of speed,,0.0036,0.7522,1.6,6866,
W-STAT,short,112,E24.04,Percentile,,0.0036,0.7558,1.0,6645,
W-STAT,short,113,E43.05,Dominant-POC streak,,0.0035,0.7593,3.8,6855,
W-STAT,short,114,E37.06,Absorption acceleration,,0.0035,0.7628,1.5,6869,
W-STAT,short,115,E17.04,opS streak,,0.0035,0.7663,0.8,6855,
W-STAT,short,116,C.02,Net % change over the 15,,0.0035,0.7698,-2.7,6869,
W-STAT,short,117,E54.02,Tier: calm / warn / toxic (adaptive percentiles),,0.0034,0.7733,-1.6,6645,E55.01
W-STAT,short,118,E24.09,Day-rank,,0.0034,0.7767,1.2,6866,
W-STAT,short,119,C.11,Compression share (buckets under 0.6 ATR),,0.0034,0.7801,-2.3,6869,
W-STAT,short,120,E37.03,Day-rank of absorbed volume,,0.0033,0.7834,1.9,6866,
W-STAT,short,121,E25.02,Percentile / z vs window,,0.0033,0.7868,-3.2,6855,
W-STAT,short,122,E05.03,Range z-score,,0.0033,0.7901,-3.2,6855,
W-STAT,short,123,B-S.14,Selection range + net price change %,,0.0033,0.7933,-3.4,6869,
W-STAT,short,124,E03.02,Duration percentile vs trailing 30 and 240 buckets,,0.0032,0.7965,-2.1,6645,
W-STAT,short,125,E13.03,Sell-dominance streak,,0.0032,0.7998,3.2,6855,
W-STAT,short,126,E22.01,OPEN_OI ramp value (0.10-0.50),,0.0032,0.8030,1.8,6869,
W-STAT,short,127,E57.05,Sweep magnitude z,,0.0032,0.8062,3.1,6094,
W-STAT,short,128,E21.01,Sign: BUILD vs DRAIN,,0.0032,0.8094,6.5,6869,
W-STAT,short,129,E16.01,opL / vol fraction,,0.0032,0.8125,-1.0,6869,
W-STAT,short,130,B-P3.05,Aggregate buyer multiple vs trailing baseline,,0.0031,0.8157,0.6,6869,B-S.11
W-STAT,short,131,B-P2.04,Dominant side label,,0.0031,0.8188,2.4,6869,
W-STAT,short,132,E12.02,Buy z-score / percentile vs trailing window,,0.0031,0.8219,-2.2,6855,
W-STAT,short,133,E06.04,Same-direction streak length,,0.0031,0.8250,-2.3,6855,
W-STAT,short,134,G06.1,Net OI change + open:close ratio,,0.0030,0.8280,-2.0,6869,
W-STAT,short,135,E14.03,Delta z-score / percentile,,0.0030,0.8311,-2.2,6855,
W-STAT,short,136,E36.04,High-s streak,,0.0030,0.8341,2.9,6855,
W-STAT,short,137,E45.05,z-score of dispersion,,0.0030,0.8371,-3.2,6855,
W-STAT,short,138,E16.06,Day-rank of opL,,0.0030,0.8402,-2.5,6866,
W-STAT,short,139,E60.01,State label (categorical) + one-hot vector,,0.0030,0.8432,7.4,6869,E62.01
W-STAT,short,140,E56.06,ATR percentile vs day,,0.0030,0.8461,-2.3,6645,
W-STAT,short,141,B-S.05,Net delta + delta percentage,,0.0030,0.8491,-2.1,6869,
W-STAT,short,142,E23.04,Percentile vs window,,0.0030,0.8521,-2.6,6645,
W-STAT,short,143,K.07,Distance to nearest band (ticks and ATRs),,0.0030,0.8551,-4.2,6865,
W-STAT,short,144,E28.06,Speed streak (consecutive > 1x),,0.0029,0.8580,1.9,6855,
W-STAT,short,145,E13.02,Sell z-score / percentile,,0.0029,0.8609,2.6,6855,
W-STAT,short,146,E17.02,z-score / percentile,,0.0029,0.8638,-0.5,6855,
W-STAT,short,147,E13.06,Day-rank of sell volume,,0.0029,0.8667,-0.5,6866,
W-STAT,short,148,E19.08,Day-rank of clS,,0.0028,0.8695,3.2,6866,
W-STAT,short,149,B-P1.05,Absolute bull V*s over the selection,,0.0028,0.8723,-0.4,6869,
W-STAT,short,150,E23.09,Day-rank of buyer effort,,0.0028,0.8751,-2.2,6866,
W-STAT,short,151,E13.10,Sell-share slope over trailing 5 buckets,,0.0027,0.8778,3.2,6869,
W-STAT,short,152,E39.04,Consecutive-dot streak,,0.0027,0.8805,4.6,6855,
W-STAT,short,153,E23.02,z vs trailing-30 (the baseline convention),,0.0026,0.8831,-1.3,6855,
W-STAT,short,154,E10.07,Persistently-high/low POC streak,,0.0026,0.8857,0.7,6104,
W-STAT,short,155,E21.03,z / percentile,,0.0026,0.8882,-0.5,6855,
W-STAT,short,156,C.01,Direction over the 15: net UP or DOWN,,0.0026,0.8908,7.8,6869,
W-STAT,short,157,E24.01,Raw value / log value,,0.0025,0.8933,1.1,6869,
W-STAT,short,158,E16.02,z-score / percentile vs window,,0.0025,0.8958,-0.1,6855,
W-STAT,short,159,B-P2.11,Entry-bucket raw value,,0.0025,0.8983,-2.1,6869,
W-STAT,short,160,C.09,Cumulative delta over the 15,,0.0025,0.9008,-1.9,6869,
W-STAT,short,161,E17.01,opS / vol fraction,,0.0025,0.9033,0.7,6869,
W-STAT,short,162,E33.01,Buyer multiplier / seller multiplier values,,0.0024,0.9057,2.9,6869,
W-STAT,short,163,E06.03,Body percentile / z-score vs window,,0.0024,0.9081,-2.9,6855,
W-STAT,short,164,E21.08,dOI acceleration,,0.0024,0.9105,-0.5,6869,
W-STAT,short,165,E56.05,ATR slope (vol regime drift),,0.0024,0.9129,-0.2,6851,
W-STAT,short,166,B-P2.06,Absolute bear V*(1-s) over the selection,,0.0024,0.9152,0.8,6869,
W-STAT,short,167,E37.02,Percentile / z vs window,,0.0023,0.9176,2.4,6855,
W-STAT,short,168,B-P2.10,Dominance-flip count across the selection,,0.0023,0.9199,2.9,6869,
W-STAT,short,169,E07.05,Trend-bar streak length,,0.0023,0.9222,1.6,6104,
W-STAT,short,170,C.07,Higher-highs / lower-lows counts,,0.0023,0.9244,0.4,6869,
W-STAT,short,171,E56.01,ATR value,,0.0023,0.9267,-2.7,6855,
W-STAT,short,172,E18.08,Day-rank of clL,,0.0023,0.9290,2.0,6866,
